,Model_ID,Name,Publication
39,NMLCL000118,Layer 4 Burst Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
40,NMLCL000119,Layer 4 Burst Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
41,NMLCL000120,Layer 4 Burst Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
42,NMLCL000121,Layer 4 Burst Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
43,NMLCL000122,Layer 4 Burst Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
44,NMLCL000123,Layer 4 Burst Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
45,NMLCL000124,Layer 4 Burst Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
46,NMLCL000125,Layer 4 Burst Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
47,NMLCL000126,Layer 4 Burst Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
48,NMLCL000127,Layer 4 Burst Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
49,NMLCL000128,Layer 4 Burst Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
50,NMLCL000129,Layer 4 Burst Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
51,NMLCL000130,Layer 4 Burst Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
52,NMLCL000131,Layer 4 Burst Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
53,NMLCL000132,Layer 4 Burst Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
54,NMLCL000133,Layer 4 Burst Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
55,NMLCL000134,Layer 4 Burst Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
56,NMLCL000135,Layer 4 Burst Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
57,NMLCL000136,Layer 4 Burst Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
58,NMLCL000137,Layer 5 Burst Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
59,NMLCL000138,Layer 5 Burst Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
60,NMLCL000139,Layer 5 Burst Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
61,NMLCL000140,Layer 5 Burst Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
62,NMLCL000141,Layer 5 Burst Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
63,NMLCL000142,Layer 5 Burst Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
64,NMLCL000143,Layer 5 Burst Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
65,NMLCL000144,Layer 5 Burst Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
66,NMLCL000145,Layer 5 Burst Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
67,NMLCL000146,Layer 5 Burst Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
68,NMLCL000147,Layer 5 Burst Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
69,NMLCL000148,Layer 5 Burst Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
70,NMLCL000149,Layer 5 Burst Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
71,NMLCL000150,Layer 5 Burst Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
72,NMLCL000151,Layer 5 Burst Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
73,NMLCL000152,Layer 5 Burst Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
74,NMLCL000153,Layer 5 Burst Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
75,NMLCL000154,Layer 5 Burst Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
76,NMLCL000155,Layer 5 Burst Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
77,NMLCL000156,Layer 5 Burst Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
78,NMLCL000157,Layer 5 Burst Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
79,NMLCL000158,Layer 5 Burst Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
80,NMLCL000159,Layer 5 Burst Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
81,NMLCL000160,Layer 5 Burst Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
82,NMLCL000161,Layer 5 Burst Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
83,NMLCL000162,Layer 5 Burst Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
84,NMLCL000163,Layer 5 Burst Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
85,NMLCL000164,Layer 5 Burst Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
86,NMLCL000165,Layer 5 Burst Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
87,NMLCL000166,Layer 5 Burst Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
88,NMLCL000167,Layer 6 Burst Accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
89,NMLCL000168,Layer 6 Burst Accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
90,NMLCL000169,Layer 6 Burst Accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
91,NMLCL000170,Layer 6 Burst Accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
92,NMLCL000171,Layer 6 Burst Accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
93,NMLCL000172,Layer 6 Burst Accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
94,NMLCL000173,Layer 6 Burst Accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
95,NMLCL000174,Layer 6 Burst Accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
96,NMLCL000175,Layer 6 Burst Accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
97,NMLCL000176,Layer 6 Burst Accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
98,NMLCL000177,Layer 6 Burst Accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
99,NMLCL000178,Layer 6 Burst Accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
100,NMLCL000179,Layer 6 Burst Accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
101,NMLCL000180,Layer 6 Burst Accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
102,NMLCL000181,Layer 6 Burst Accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
103,NMLCL000182,Layer 6 Burst Accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
104,NMLCL000183,Layer 6 Burst Accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
105,NMLCL000184,Layer 6 Burst Accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
106,NMLCL000185,Layer 6 Burst Accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
107,NMLCL000186,Layer 6 Burst Accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
108,NMLCL000187,Layer 6 Burst Accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
109,NMLCL000188,Layer 6 Burst Accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
110,NMLCL000189,Layer 6 Burst Accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
111,NMLCL000190,Layer 6 Burst Accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
112,NMLCL000191,Layer 6 Burst Accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
113,NMLCL000192,Layer 6 Burst Accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
114,NMLCL000193,Layer 6 Burst Accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
115,NMLCL000194,Layer 6 Burst Accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
116,NMLCL000195,Layer 6 Burst Accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
117,NMLCL000196,Layer 6 Burst Accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
118,NMLCL000197,Layer 2/3 Burst Irregular Bipolar Cell (1),"Markram, et. al. (2015)"
119,NMLCL000198,Layer 2/3 Burst Irregular Bipolar Cell (2),"Markram, et. al. (2015)"
120,NMLCL000199,Layer 2/3 Burst Irregular Bipolar Cell (3),"Markram, et. al. (2015)"
121,NMLCL000200,Layer 2/3 Burst Irregular Bipolar Cell (4),"Markram, et. al. (2015)"
122,NMLCL000201,Layer 2/3 Burst Irregular Bipolar Cell (5),"Markram, et. al. (2015)"
123,NMLCL000202,Layer 2/3 Burst Irregular Bitufted Cell (1),"Markram, et. al. (2015)"
124,NMLCL000203,Layer 2/3 Burst Irregular Bitufted Cell (2),"Markram, et. al. (2015)"
125,NMLCL000204,Layer 2/3 Burst Irregular Bitufted Cell (3),"Markram, et. al. (2015)"
126,NMLCL000205,Layer 2/3 Burst Irregular Bitufted Cell (4),"Markram, et. al. (2015)"
127,NMLCL000206,Layer 2/3 Burst Irregular Bitufted Cell (5),"Markram, et. al. (2015)"
128,NMLCL000207,Layer 2/3 Burst Irregular Double Bouquet Cell (1),"Markram, et. al. (2015)"
129,NMLCL000208,Layer 2/3 Burst Irregular Double Bouquet Cell (2),"Markram, et. al. (2015)"
130,NMLCL000209,Layer 2/3 Burst Irregular Double Bouquet Cell (3),"Markram, et. al. (2015)"
131,NMLCL000210,Layer 2/3 Burst Irregular Double Bouquet Cell (4),"Markram, et. al. (2015)"
132,NMLCL000211,Layer 2/3 Burst Irregular Double Bouquet Cell (5),"Markram, et. al. (2015)"
133,NMLCL000212,Layer 4 Burst Irregular Bipolar Cell (1),"Markram, et. al. (2015)"
134,NMLCL000213,Layer 4 Burst Irregular Bipolar Cell (2),"Markram, et. al. (2015)"
135,NMLCL000214,Layer 4 Burst Irregular Bipolar Cell (3),"Markram, et. al. (2015)"
136,NMLCL000215,Layer 4 Burst Irregular Bipolar Cell (4),"Markram, et. al. (2015)"
137,NMLCL000216,Layer 4 Burst Irregular Bipolar Cell (5),"Markram, et. al. (2015)"
138,NMLCL000217,Layer 4 Burst Irregular Bitufted Cell (1),"Markram, et. al. (2015)"
139,NMLCL000218,Layer 4 Burst Irregular Bitufted Cell (2),"Markram, et. al. (2015)"
140,NMLCL000219,Layer 4 Burst Irregular Bitufted Cell (3),"Markram, et. al. (2015)"
141,NMLCL000220,Layer 4 Burst Irregular Bitufted Cell (4),"Markram, et. al. (2015)"
142,NMLCL000221,Layer 4 Burst Irregular Bitufted Cell (5),"Markram, et. al. (2015)"
143,NMLCL000222,Layer 4 Burst Irregular Double Bouquet Cell (1),"Markram, et. al. (2015)"
144,NMLCL000223,Layer 4 Burst Irregular Double Bouquet Cell (2),"Markram, et. al. (2015)"
145,NMLCL000224,Layer 4 Burst Irregular Double Bouquet Cell (3),"Markram, et. al. (2015)"
146,NMLCL000225,Layer 4 Burst Irregular Double Bouquet Cell (4),"Markram, et. al. (2015)"
147,NMLCL000226,Layer 4 Burst Irregular Double Bouquet Cell (5),"Markram, et. al. (2015)"
148,NMLCL000227,Layer 5 Burst Irregular Bipolar Cell (1),"Markram, et. al. (2015)"
149,NMLCL000228,Layer 5 Burst Irregular Bipolar Cell (2),"Markram, et. al. (2015)"
150,NMLCL000229,Layer 5 Burst Irregular Bipolar Cell (3),"Markram, et. al. (2015)"
151,NMLCL000230,Layer 5 Burst Irregular Bipolar Cell (4),"Markram, et. al. (2015)"
152,NMLCL000231,Layer 5 Burst Irregular Bipolar Cell (5),"Markram, et. al. (2015)"
153,NMLCL000232,Layer 5 Burst Irregular Double Bouquet Cell (1),"Markram, et. al. (2015)"
154,NMLCL000233,Layer 5 Burst Irregular Double Bouquet Cell (2),"Markram, et. al. (2015)"
155,NMLCL000234,Layer 5 Burst Irregular Double Bouquet Cell (3),"Markram, et. al. (2015)"
156,NMLCL000235,Layer 5 Burst Irregular Double Bouquet Cell (4),"Markram, et. al. (2015)"
157,NMLCL000236,Layer 5 Burst Irregular Double Bouquet Cell (5),"Markram, et. al. (2015)"
158,NMLCL000237,Layer 5 Burst Irregular Martinotti Cell (1),"Markram, et. al. (2015)"
159,NMLCL000238,Layer 5 Burst Irregular Martinotti Cell (2),"Markram, et. al. (2015)"
160,NMLCL000239,Layer 5 Burst Irregular Martinotti Cell (3),"Markram, et. al. (2015)"
161,NMLCL000240,Layer 5 Burst Irregular Martinotti Cell (4),"Markram, et. al. (2015)"
162,NMLCL000241,Layer 5 Burst Irregular Martinotti Cell (5),"Markram, et. al. (2015)"
163,NMLCL000242,Layer 5 Burst Irregular Nest Basket Cell (1),"Markram, et. al. (2015)"
164,NMLCL000243,Layer 5 Burst Irregular Nest Basket Cell (2),"Markram, et. al. (2015)"
165,NMLCL000244,Layer 5 Burst Irregular Nest Basket Cell (3),"Markram, et. al. (2015)"
166,NMLCL000245,Layer 5 Burst Irregular Nest Basket Cell (4),"Markram, et. al. (2015)"
167,NMLCL000246,Layer 5 Burst Irregular Nest Basket Cell (5),"Markram, et. al. (2015)"
168,NMLCL000247,Layer 6 Burst Irregular Bipolar Cell (1),"Markram, et. al. (2015)"
169,NMLCL000248,Layer 6 Burst Irregular Bipolar Cell (2),"Markram, et. al. (2015)"
170,NMLCL000249,Layer 6 Burst Irregular Bipolar Cell (3),"Markram, et. al. (2015)"
171,NMLCL000250,Layer 6 Burst Irregular Bipolar Cell (4),"Markram, et. al. (2015)"
172,NMLCL000251,Layer 6 Burst Irregular Bipolar Cell (5),"Markram, et. al. (2015)"
173,NMLCL000252,Layer 6 Burst Irregular Double Bouquet Cell (1),"Markram, et. al. (2015)"
174,NMLCL000253,Layer 6 Burst Irregular Double Bouquet Cell (2),"Markram, et. al. (2015)"
175,NMLCL000254,Layer 6 Burst Irregular Double Bouquet Cell (3),"Markram, et. al. (2015)"
176,NMLCL000255,Layer 6 Burst Irregular Double Bouquet Cell (4),"Markram, et. al. (2015)"
177,NMLCL000256,Layer 6 Burst Irregular Double Bouquet Cell (5),"Markram, et. al. (2015)"
178,NMLCL000257,Layer 6 Burst Irregular Large Basket Cell (1),"Markram, et. al. (2015)"
179,NMLCL000258,Layer 6 Burst Irregular Large Basket Cell (2),"Markram, et. al. (2015)"
180,NMLCL000259,Layer 6 Burst Irregular Large Basket Cell (3),"Markram, et. al. (2015)"
181,NMLCL000260,Layer 6 Burst Irregular Large Basket Cell (4),"Markram, et. al. (2015)"
182,NMLCL000261,Layer 6 Burst Irregular Large Basket Cell (5),"Markram, et. al. (2015)"
183,NMLCL000262,Layer 6 Burst Irregular Martinotti Cell (1),"Markram, et. al. (2015)"
184,NMLCL000263,Layer 6 Burst Irregular Martinotti Cell (2),"Markram, et. al. (2015)"
185,NMLCL000264,Layer 6 Burst Irregular Martinotti Cell (3),"Markram, et. al. (2015)"
186,NMLCL000265,Layer 6 Burst Irregular Martinotti Cell (4),"Markram, et. al. (2015)"
187,NMLCL000266,Layer 6 Burst Irregular Martinotti Cell (5),"Markram, et. al. (2015)"
188,NMLCL000267,Layer 6 Burst Irregular Nest Basket Cell (1),"Markram, et. al. (2015)"
189,NMLCL000268,Layer 6 Burst Irregular Nest Basket Cell (2),"Markram, et. al. (2015)"
190,NMLCL000269,Layer 6 Burst Irregular Nest Basket Cell (3),"Markram, et. al. (2015)"
191,NMLCL000270,Layer 6 Burst Irregular Nest Basket Cell (4),"Markram, et. al. (2015)"
192,NMLCL000271,Layer 6 Burst Irregular Nest Basket Cell (5),"Markram, et. al. (2015)"
193,NMLCL000272,Layer 1 Burst Non-accommodating Descending Axon Cell (1),"Markram, et. al. (2015)"
194,NMLCL000273,Layer 1 Burst Non-accommodating Descending Axon Cell (2),"Markram, et. al. (2015)"
195,NMLCL000274,Layer 1 Burst Non-accommodating Descending Axon Cell (3),"Markram, et. al. (2015)"
196,NMLCL000275,Layer 1 Burst Non-accommodating Descending Axon Cell (4),"Markram, et. al. (2015)"
197,NMLCL000276,Layer 1 Burst Non-accommodating Descending Axon Cell (5),"Markram, et. al. (2015)"
198,NMLCL000277,Layer 1 Burst Non-accommodating Horizontal Axon Cell (1),"Markram, et. al. (2015)"
199,NMLCL000278,Layer 1 Burst Non-accommodating Horizontal Axon Cell (2),"Markram, et. al. (2015)"
200,NMLCL000279,Layer 1 Burst Non-accommodating Horizontal Axon Cell (3),"Markram, et. al. (2015)"
201,NMLCL000280,Layer 1 Burst Non-accommodating Horizontal Axon Cell (4),"Markram, et. al. (2015)"
202,NMLCL000281,Layer 1 Burst Non-accommodating Horizontal Axon Cell (5),"Markram, et. al. (2015)"
203,NMLCL000282,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (1),"Markram, et. al. (2015)"
204,NMLCL000283,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (2),"Markram, et. al. (2015)"
205,NMLCL000284,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (3),"Markram, et. al. (2015)"
206,NMLCL000285,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (4),"Markram, et. al. (2015)"
207,NMLCL000286,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (5),"Markram, et. al. (2015)"
208,NMLCL000287,Layer 1 Burst Non-accommodating Small Axon Cell (1),"Markram, et. al. (2015)"
209,NMLCL000288,Layer 1 Burst Non-accommodating Small Axon Cell (2),"Markram, et. al. (2015)"
210,NMLCL000289,Layer 1 Burst Non-accommodating Small Axon Cell (3),"Markram, et. al. (2015)"
211,NMLCL000290,Layer 1 Burst Non-accommodating Small Axon Cell (4),"Markram, et. al. (2015)"
212,NMLCL000291,Layer 1 Burst Non-accommodating Small Axon Cell (5),"Markram, et. al. (2015)"
213,NMLCL000292,Layer 2/3 Burst Non-accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
214,NMLCL000293,Layer 2/3 Burst Non-accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
215,NMLCL000294,Layer 2/3 Burst Non-accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
216,NMLCL000295,Layer 2/3 Burst Non-accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
217,NMLCL000296,Layer 2/3 Burst Non-accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
218,NMLCL000297,Layer 2/3 Burst Non-accommodating Bitufted Cell (1),"Markram, et. al. (2015)"
219,NMLCL000298,Layer 2/3 Burst Non-accommodating Bitufted Cell (2),"Markram, et. al. (2015)"
220,NMLCL000299,Layer 2/3 Burst Non-accommodating Bitufted Cell (3),"Markram, et. al. (2015)"
221,NMLCL000300,Layer 2/3 Burst Non-accommodating Bitufted Cell (4),"Markram, et. al. (2015)"
222,NMLCL000301,Layer 2/3 Burst Non-accommodating Bitufted Cell (5),"Markram, et. al. (2015)"
223,NMLCL000302,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
224,NMLCL000303,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
225,NMLCL000304,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
226,NMLCL000305,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
227,NMLCL000306,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
228,NMLCL000307,Layer 2/3 Burst Non-accommodating Large Basket Cell (1),"Markram, et. al. (2015)"
229,NMLCL000308,Layer 2/3 Burst Non-accommodating Large Basket Cell (2),"Markram, et. al. (2015)"
230,NMLCL000309,Layer 2/3 Burst Non-accommodating Large Basket Cell (3),"Markram, et. al. (2015)"
231,NMLCL000310,Layer 2/3 Burst Non-accommodating Large Basket Cell (4),"Markram, et. al. (2015)"
232,NMLCL000311,Layer 2/3 Burst Non-accommodating Large Basket Cell (5),"Markram, et. al. (2015)"
233,NMLCL000312,Layer 2/3 Burst Non-accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
234,NMLCL000313,Layer 2/3 Burst Non-accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
235,NMLCL000314,Layer 2/3 Burst Non-accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
236,NMLCL000315,Layer 2/3 Burst Non-accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
237,NMLCL000316,Layer 2/3 Burst Non-accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
238,NMLCL000317,Layer 2/3 Burst Non-accommodating Nest Basket Cell (1),"Markram, et. al. (2015)"
239,NMLCL000318,Layer 2/3 Burst Non-accommodating Nest Basket Cell (2),"Markram, et. al. (2015)"
240,NMLCL000319,Layer 2/3 Burst Non-accommodating Nest Basket Cell (3),"Markram, et. al. (2015)"
241,NMLCL000320,Layer 2/3 Burst Non-accommodating Nest Basket Cell (4),"Markram, et. al. (2015)"
242,NMLCL000321,Layer 2/3 Burst Non-accommodating Nest Basket Cell (5),"Markram, et. al. (2015)"
243,NMLCL000322,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
244,NMLCL000323,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
245,NMLCL000324,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
246,NMLCL000325,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
247,NMLCL000326,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
248,NMLCL000327,Layer 2/3 Burst Non-accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
249,NMLCL000328,Layer 2/3 Burst Non-accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
250,NMLCL000329,Layer 2/3 Burst Non-accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
251,NMLCL000330,Layer 2/3 Burst Non-accommodating Small Basket Cell (4),"Markram, et. al. (2015)"
252,NMLCL000331,Layer 2/3 Burst Non-accommodating Small Basket Cell (5),"Markram, et. al. (2015)"
253,NMLCL000332,Layer 4 Burst Non-accommodating Bipolar Cell (1),"Markram, et. al. (2015)"
254,NMLCL000333,Layer 4 Burst Non-accommodating Bipolar Cell (2),"Markram, et. al. (2015)"
255,NMLCL000334,Layer 4 Burst Non-accommodating Bipolar Cell (3),"Markram, et. al. (2015)"
256,NMLCL000335,Layer 4 Burst Non-accommodating Bipolar Cell (4),"Markram, et. al. (2015)"
257,NMLCL000336,Layer 4 Burst Non-accommodating Bipolar Cell (5),"Markram, et. al. (2015)"
258,NMLCL000337,Layer 4 Burst Non-accommodating Double Bouquet Cell (1),"Markram, et. al. (2015)"
259,NMLCL000338,Layer 4 Burst Non-accommodating Double Bouquet Cell (2),"Markram, et. al. (2015)"
260,NMLCL000339,Layer 4 Burst Non-accommodating Double Bouquet Cell (3),"Markram, et. al. (2015)"
261,NMLCL000340,Layer 4 Burst Non-accommodating Double Bouquet Cell (4),"Markram, et. al. (2015)"
262,NMLCL000341,Layer 4 Burst Non-accommodating Double Bouquet Cell (5),"Markram, et. al. (2015)"
263,NMLCL000342,Layer 4 Burst Non-accommodating Martinotti Cell (1),"Markram, et. al. (2015)"
264,NMLCL000343,Layer 4 Burst Non-accommodating Martinotti Cell (2),"Markram, et. al. (2015)"
265,NMLCL000344,Layer 4 Burst Non-accommodating Martinotti Cell (3),"Markram, et. al. (2015)"
266,NMLCL000345,Layer 4 Burst Non-accommodating Martinotti Cell (4),"Markram, et. al. (2015)"
267,NMLCL000346,Layer 4 Burst Non-accommodating Martinotti Cell (5),"Markram, et. al. (2015)"
268,NMLCL000347,Layer 4 Burst Non-accommodating Neurogliaform Cell (1),"Markram, et. al. (2015)"
269,NMLCL000348,Layer 4 Burst Non-accommodating Neurogliaform Cell (2),"Markram, et. al. (2015)"
270,NMLCL000349,Layer 4 Burst Non-accommodating Neurogliaform Cell (3),"Markram, et. al. (2015)"
271,NMLCL000350,Layer 4 Burst Non-accommodating Neurogliaform Cell (4),"Markram, et. al. (2015)"
272,NMLCL000351,Layer 4 Burst Non-accommodating Neurogliaform Cell (5),"Markram, et. al. (2015)"
273,NMLCL000352,Layer 4 Burst Non-accommodating Small Basket Cell (1),"Markram, et. al. (2015)"
274,NMLCL000353,Layer 4 Burst Non-accommodating Small Basket Cell (2),"Markram, et. al. (2015)"
275,NMLCL000354,Layer 4 Burst Non-accommodating Small Basket Cell (3),"Markram, et. al. (2015)"
